"ID Bài viết","Tiêu đề","Chuyên mục","Trạng thái","Số ảnh thiếu","Chi tiết tên ảnh thiếu","Đường dẫn cũ"
"10480","Làm tốt công tác phòng ngừa vi phạm về vũ khí, vật liệu nổ, góp phần kéo giảm tội phạm","Tin nổi bật","published","1","1_2025095947-1737041322068.jpg","/lam-tot-cong-tac-phong-ngua-vi-pham-ve-vu-khi-vat-lieu-no-gop-phan-keo-giam-toi-pham.html"
"10481","Ra mắt mô hình “Tổ tuyên truyền, hòa giải mâu thuẫn nội bộ nhân dân”","Tin nổi bật","published","1","Hai_Duong_0159-1737076626866.jpg","/ra-mat-mo-hinh-to-tuyen-truyen-hoa-giai-mau-thuan-noi-bo-nhan-dan.html"
"10493","KHAI GIẢNG KHOÁ HỌC: KỸ NĂNG QUAY PHIM, CHỤP ẢNH & DỰNG PHIM CƠ BẢN","Bản tin","published","11","TCT00040.JPG; TCT00066.JPG; TCT00099.JPG; TCT00006.JPG; TCT00006(1).JPG; TCT00007.JPG; TCT00013.JPG; TCT00036.JPG; TCT00056.JPG; TCT00072.JPG; TCT00108.JPG","/khai-giang-khoa-hoc-ky-nang-quay-phim-chup-anh-dung-phim-co-ban.html"
"10502","Quảng Ninh: Chung tay giúp người lầm lỡ tái hòa nhập cộng đồng","Bản tin","published","1","1_2025095947-1737041322068.jpg","/chung-tay-giup-nguoi-lam-lo-tai-hoa-nhap-cong-dong.html"
"10503","Lai Châu: Phát huy hiệu quả các mô hình tái hòa nhập cộng đồng","Bản tin","published","2","120519-vna_potal_thuc_hien_tot_cong_tac_tai_hoa_nhap_cong_dong_voi_nguoi_chap_hanh_xong_an_phat_tu_7058247.jpg; 120830-vna_potal_thuc_hien_tot_cong_tac_tai_hoa_nhap_cong_dong_voi_nguoi_chap_hanh_xong_an_phat_tu_7058241.jpg","/lai-chau-phat-huy-hieu-qua-cac-mo-hinh-tai-hoa-nhap-cong-dong.html"
"10504","Hải Dương: Hiệu quả mô hình tái hòa nhập cộng đồng ở Nam Sách","Bản tin","published","1","ns-2-.jpg","/hai-duong-hieu-qua-mo-hinh-tai-hoa-nhap-cong-dong-o-nam-sach.html"
"10505","Bắc Giang: Cùng chung tay giúp đỡ những người lầm lỗi tái hòa nhập cộng đồng","Bản tin","published","3","z5553594415629_775858de183bacd905fcf11fd51b8234(1).jpg; 0123(1).jpg; z5553594415125_63104601f7611f3897b87ce21fc0f925(1).jpg","/bac-giang-cung-chung-tay-giup-do-nhung-nguoi-lam-loi-tai-hoa-nhap-cong-dong.html"
"10506","Bắc Ninh: Tập huấn công tác thi hành án hình sự và tái hòa nhập cộng đồng năm 2025","Bản tin","published","2","02.jpeg; 03.jpeg","/tap-huan-nghiep-vu-cong-tac-thi-hanh-an-hinh-su-tai-cong-dong-va-tai-hoa-nhap-cong-dong.html"
"10507","Hà Giang: Giúp người lầm lỡ tái hòa nhập cộng đồng","Bản tin","published","2","hg1(1).jpg; hg2.jpg","/bao-ha-giang-giup-nguoi-lam-lo-tai-hoa-nhap-cong-dong.html"
"10509","Nam Định: Công an tỉnh Hội nghị tập huấn công tác thi hành án hình sự tại cộng đồng và tái hòa nhập cộng đồng năm 2024","Bản tin","published","3","1.png; 2.png; 3 (1).png","/cong-thong-tin-dien-tu-tinh-nam-dinh-cong-an-tinh-nam-dinh-to-chuc-hoi-nghi-tap-huan-cong-tac-thi-hanh-an-hinh-su-tai-cong-dong-va-tai-hoa-nhap-cong-dong-nam-2024.html"
"10510","Nam Định:  Tiếp lực giúp người chấp hành xong án phạt tù tái hoà nhập cộng đồng","Bản tin","published","1","untitled-1_20241113084646.png","/nam-dinh-tiep-luc-giup-nguoi-chap-hanh-xong-an-phat-tu-tai-hoa-nhap-cong-dong.html"
"10511","Lâm Đồng: Giúp người chấp hành xong án phạt tù tái hòa nhập cộng đồng","Bản tin","published","1","t6a_20240919205540.jpg","/lam-dong-giup-nguoi-chap-hanh-xong-an-phat-tu-tai-hoa-nhap-cong-dong.html"
"10512","Thứ trưởng Bộ Công an Lê Văn Tuyến kiểm tra công tác đặc xá năm 2025 tại Hà Nội","Bản tin","published","8","tham_1-1743581585909.jpeg; tham-1743581585706.jpeg; Hiep-1743582534973.jpg; Phuc-1743582020676.jpg; tuyen-1743582020286.jpg; hung-1743582019005.jpg; TT2-1743581660671.jpeg; DB-1743582116043.jpeg","/thu-truong-bo-cong-an-le-van-tuyen-kiem-tra-cong-tac-dac-xa-nam-2025-tai-ha-noi.html"
"10513","Ban Chỉ đạo về đặc xá của Bộ Công an xét duyệt hồ sơ xét đề nghị đặc xá năm 2025 cho các phạm nhân","Bản tin","published","3","IMG_9670-1744801021248.jpeg; IMG_9681-1744801152039.jpeg; IMG_9667-1744801221288.jpeg","/ban-chi-dao-ve-dac-xa-cua-bo-cong-an-xet-duyet-ho-so-xet-de-nghi-dac-xa-nam-2025-cho-cac-pham-nhan.html"
"10515","HỒ CHÍ MINH: Hỗ trợ phụ nữ hoàn lương, tái hòa nhập cộng đồng","Bản tin","published","3","screenshot_1744.jpeg; screenshot_17.jpeg; 46419793.jpeg","/thanh-pho-ho-chi-minh-ho-tro-phu-nu-hoan-luong-tai-hoa-nhap-cong-dong.html"
"10516","Bình Thuận: Thực hiện tốt công tác tái hòa nhập cộng đồng góp phần đảm bảo an ninh, trật tự trên địa bàn tỉnh","Bản tin","published","1","Anh1.jpg","/binh-thuan-thuc-hien-tot-cong-tac-tai-hoa-nhap-cong-dong-gop-phan-dam-bao-an-ninh-trat-tu-tren-dia-ban-tinh.html"
"10517"," Thanh Hóa: Diễn đàn tư vấn pháp lý và hỗ trợ tái hòa nhập cộng đồng cho người chấp hành xong án phạt tù","Bản tin","published","3","2(146).jpg; 4(75).jpg; 5(68).jpg","/thanh-hoa-dien-dan-tu-van-phap-ly-va-ho-tro-tai-hoa-nhap-cong-dong-cho-nguoi-chap-hanh-xong-an-phat-tu.html"
"10519","Vĩnh Phúc: Tập huấn công tác thi hành án hình sự tại cộng đồng và tái hòa nhập cộng đồng","Bản tin","published","4","2_2024015399.jpg; 3_2024015116.jpg; 4_2024017339.jpg; 5_2024011419.jpg","/vinh-phuc-mo-hinh-giup-do-nguoi-chap-hanh-xong-an-phat-tu-tai-hoa-nhap-cong-dong-o-xa-dong-tinh.html"
"10520","Bạc Liêu: Nâng cao trách nhiệm trong công tác tái hòa nhập cộng đồng","Bản tin","published","6","To_chuc_trao_Quyet_dinh_tha_tu_t-1725328554887.jpg; Luc_luong_Cong_an_tuyen_truyen_p-1725328609693.jpg; Luc_luong_Cong_an_tham_hoi_gia_d-1725328652875.png; a(5).png; Tuyen_truyen_phap_luat_cho_pham_-1725328695155.jpg; a(11)(1).jpg","/bac-lieu-nang-cao-trach-nhiem-trong-cong-tac-tai-hoa-nhap-cong-dong.html"
"20521","Các trại giam đồng loạt công bố quyết định đặc xá dịp Lễ 30/4","Bản tin","published","21","01.jpg; 03.jpg; Hai Phong.jpg; Hung Yen.jpg; Ha Nam.jpg; lam thu tuc dac xa Trai Giam Kênh 7.jpg; Binh Dinh.jpg; ca mau.jpg; Ha Giang.jpg; Xuan Ha.jpg; Cao Lanh, C10 -phạm nhân làm thủ tục ra về .jpg; Yên Bái.jpg; 150_4544_MXF_19_06_57_21_Still001.jpg; 150_4564_MXF_19_09_54_11_Still001.jpg; 150_4592_MXF_19_18_50_08_Still001.jpg; 150_4612_MXF_19_21_44_01_Still001(1).jpg; IMG_0223_MOV_00_00_00_18_Still001.jpg; 150_4611_MXF_19_21_25_12_Still001.jpg; IMG_0217_MOV_00_00_03_23_Still001.jpg; IMG_0225_MOV_00_00_02_00_Still001.jpg; Thanh nhân.jpeg","/cac-trai-giam-dong-loat-cong-bo-quyet-dinh-dac-xa-dip-le-30-4.html"
"20522","Bình Thuận: Thực hiện tốt công tác tái hòa nhập cộng đồng góp phần đảm bảo an ninh, trật tự trên địa bàn tỉnh","Bản tin","published","1","Anh1 (1).jpg","/binh-thuan-thuc-hien-tot-cong-tac-tai-hoa-nhap-cong-dong-gop-phan-dam-bao-an-ninh-trat-tu-tren-dia-ban-tinh.html"
"20523","KonTum: Thực hiện tốt công tác tái hòa nhập cộng đồng đối với người chấp hành xong án phạt tù góp phần bảo đảm an ninh, trật tự và các vấn đề xã hội khác ở địa phương","Bản tin","published","4","clip_image002(14).jpg; clip_image004(12).jpg; clip_image006(1).jpg; clip_image008.jpg","/kontum-thuc-hien-tot-cong-tac-tai-hoa-nhap-cong-dong-doi-voi-nguoi-chap-hanh-xong-an-phat-tu-gop-phan-bao-dam-an-ninh-trat-tu-va-cac-van-de-xa-hoi-khac-o-dia-phuong.html"
"20524","QUẢNG BÌNH: Cục Cảnh sát quản lý tạm giữ, tạm giam và thi hành án hinh sự tại cộng đồng (C11) tổ chức lớp tập huấn công tác Thi hành án hình sự và tái hòa nhập cộng đồng cho Công an các địa phương.","Bản tin","published","6","a Long(1).jpeg; a khuyen(1).png; thay tuan(1).png; e Thanh(1).png; lớp tâp huấn(1).png; ca lop.png","/quang-binh-cuc-canh-sat-quan-ly-tam-giu-tam-giam-va-thi-hanh-an-hinh-su-tai-cong-dong-c11-to-chuc-lop-tap-huan-cong-tac-thi-hanh-an-hinh-su-va-tai-hoa-nhap-cong-dong-cho-cong-an-cac-dia-phuong.html"
"20525","Tây Ninh: Tín dụng với người hoàn lương- Điểm tựa tái hòa nhập cộng đồng","Bản tin","published","1","honaluongtayninh-5148-4415.jpg","/tay-ninh-tin-dung-voi-nguoi-hoan-luong-diem-tua-tai-hoa-nhap-cong-dong.html"
"20526","Quảng Ninh:  Làm tốt công tác tái hòa nhập cộng đồng góp phần kéo giảm tỷ lệ tái phạm tội","Bản tin","published","6","xuong-da-hoan-luong.jpg; anh-tam-nuoi-tom.jpg; dam-tom-cua-anh-tam (1).jpg; anh-duyen-lam-moc.jpg; anh-duyen-o-tien-yen.jpg; dong-chi-thanh-pct-uong-bi-hop-voi-cac-nganh-ve-mo-hinh-tai-hoa-nhap-cong-dong.jpg","/lam-tot-cong-tac-tai-hoa-nhap-cong-dong-gop-phan-ngan-chan-toi-pham.html"
"20527","BÌNH PHƯỚC: Nâng cao hiệu quả công tác thi hành án hình sự tại cộng đồng và tái hoà nhập cộng đồng","Bản tin","draft","2","18_7_2024_1_1.jpg; 18_7_2024_1_2.jpg","/binh-phuoc-nang-cao-hieu-qua-cong-tac-thi-hanh-an-hinh-su-tai-cong-dong-va-tai-hoa-nhap-cong-dong.html"
"20528","Gương sáng hoàn lương","Tấm gương tiêu biểu","published","1","cong-an.jpg","/guong-sang-hoan-luong.html"
"20529","Hà Nam: Tổ chức Phiên giao dịch việc làm cho học sinh, người lao động, người được đặc xá năm 2025","Bản tin","published","2","img_5833.jpg; img_5791.jpg","/ha-nam-to-chuc-phien-giao-dich-viec-lam-cho-hoc-sinh-nguoi-lao-dong-nguoi-duoc-dac-xa-nam-2025.html"
"20530","Trại giam Quảng Ninh tổ chức lễ công bố quyết định đặc xá của Chủ tịch nước dịp 30/4","Bản tin","published","6","screenshot_1747126139.png; screenshot_1747128294.png; screenshot_1747127437(1).png; screenshot_1747127573.png; screenshot_1747127874.png; screenshot_1747128043.png","/trai-giam-quang-ninh-to-chuc-le-cong-bo-quyet-dinh-dac-xa-cua-chu-tich-nuoc-dip-30-4.html"
"20531","Tập huấn tăng cường năng lực cho chỉ huy, cán bộ công an cấp xã trong công tác Thi hành án hình sự tại cộng đồng và tái hòa nhập cộng đồng.","Bản tin","published","19","197A5593(1).jpg; Sequence 01_00_08_25_20_Still009.jpg; 123CD.jpg; Sequence 01_00_10_31_00_Still012.jpg; 197A5598.jpg; 197A5635.jpg; 123E (2).jpg; 12QAD.jpg; 197A5625.jpg; 197A5627.jpg; Anh toan 303.jpg; Canh toan.jpg; CVDAZ.jpg; Cảnh toàn 3.jpg; ETYU.jpg; Dai bieu 3.jpg; LOUY.jpg; Lương Manh Thuyết, PTP PC10 Hai Duong.jpg; QETYG.jpg","/hai-duong-tang-cuong-nang-luc-cho-can-bo-xa-trong-cong-tac-thi-hanh-an-hinh-su-tai-cong-dong-va-tai-hoa-nhap-cong-dong.html"
"20532","HÀ NAM: Phiên giao dịch việc làm cho người CHXAPT trở về hòa nhập cộng đồng ở Hà Nam","Mô hình tái hòa nhập","published","6","IMG_1227.JPG; imgp0550.jpg; imgp0582.jpg; imgp0591.jpg; imgp0602.jpg; imgp0620.jpg","/phien-giao-dich-viec-lam-cho-nguoi-chxapt-tro-ve-hoa-nhap-cong-dong-o-ha-nam.html"
"20533"," Toàn văn Quyết định 266/2025/QĐ-CTN về đặc xá năm 2025","Văn bản","published","7","1-1741070358480157287280.jpg; 2dacxa-17410703737251271190733.jpg; 3daxa-1741070385403287507025.jpg; 4-17410703961051789311965.jpg; 5-1741070406566739426424.jpg; 6-17410704177911201519540.jpg; 7-1741070427208150659441.jpg","/toan-van-quyet-dinh-266-2025-qd-ctn-ve-dac-xa-nam-2025.html"
